series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
73,Full Metal Panic! The Second Raid,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
37188,Fumikiri Jikan,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
8187,Fumiko no Kokuhaku,ONA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
32948,Fune wo Amu,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
4725,Ga-Rei: Zero,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
36317,Gaikotsu Shotenin Honda-san,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
24765,Gakkougurashi!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
35222,Gakuen Babysitters,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34280,Gamers!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
25183,Gangsta.,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
384,Gantz,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
23289,Gekkan Shoujo Nozaki-kun,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
1571,Ghost Hunt,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
32607,Gi(a)rlish Number,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
16918,Gin no Saji,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
